species,pu,amount
1,1,0
2,1,0
1,2,0
2,2,0
1,3,0
2,3,0
1,4,0
2,4,0
1,5,0
2,5,0
1,6,0
2,6,0
1,7,0
2,7,0
1,8,0
2,8,0
1,9,0
2,9,0
1,10,0
2,10,0
1,11,0
2,11,0
1,12,0
2,12,0
1,13,0
2,13,0
1,14,0
2,14,0
1,15,0
2,15,0
1,16,0
2,16,0
1,17,0
2,17,0
1,18,0
2,18,0
1,19,0
2,19,0
1,20,0
2,20,0
1,21,1.5
2,21,1.27718231541502e-18
1,22,0
2,22,0
1,23,0
2,23,0
1,24,0
2,24,0
1,25,0
2,25,0
1,26,0
2,26,0
1,27,0
2,27,0
1,28,0
2,28,0
1,29,0
2,29,0
1,30,0
2,30,0
1,31,0
2,31,0
1,32,0
2,32,0
1,33,0
2,33,0
1,34,2
2,34,4.16002541569156e-18
1,35,0
2,35,0
1,36,0
2,36,0
1,37,0
2,37,0
1,38,0
2,38,0
1,39,0
2,39,0
1,40,0
2,40,0
1,41,0
2,41,0
1,42,0
2,42,0
1,43,0
2,43,0
1,44,0
2,44,0
1,45,3
2,45,9.64573306520616e-18
1,46,0
2,46,0
1,47,0
2,47,0
1,48,0
2,48,0
1,49,0
2,49,0
1,50,0
2,50,0
1,51,0
2,51,0
1,52,0
2,52,0
1,53,0
2,53,0
1,54,0
2,54,0
1,55,0
2,55,0
1,56,0
2,56,0
1,57,0
2,57,0
1,58,0
2,58,0
1,59,0
2,59,0
1,60,0
2,60,0
1,61,0
2,61,0
1,62,0
2,62,0
1,63,1.25
2,63,5.36199654377672e-19
1,64,0
2,64,0
1,65,0
2,65,0
1,66,0
2,66,0
1,67,0
2,67,0
1,68,0
2,68,0
1,69,0
2,69,0
1,70,0
2,70,0
1,71,10.9
2,71,2.47960415271421e-19
1,72,1.375
2,72,1.53125260073256e-18
1,73,0
2,73,0
1,74,0
2,74,0
1,75,0
2,75,0
1,76,0
2,76,0
1,77,0
2,77,0
1,78,144.3
2,78,2.2882977895822e-18
1,79,0
2,79,0
1,80,0
2,80,0
1,81,0
2,81,0
1,82,0
2,82,0
1,83,0
2,83,0
1,84,0
2,84,0
1,85,0
2,85,0
1,86,3.14285714285714
2,86,1.10989180248419e-18
1,87,1
2,87,2.00173696656021e-18
1,88,0
2,88,0
1,89,0
2,89,0
1,90,0
2,90,0
1,91,0
2,91,0
1,92,0
2,92,0
1,93,2.25
